,id,title,thumbnail.alt_text,date_start,date_end,date_display,artist_display,place_of_origin,dimensions,medium_display,credit_line,department_title,artist_title,classification_title
307,158749,"Peru - Machu Picchu, Morning Light",A work made of oil on canvas.,1957.0,1957.0,1957,"Georgia O'Keeffe
American, 1887–1986",United States,61 × 45.7 cm (24 × 18 in.),Oil on canvas,Bequest of Paul and Gabriella Rosenbaum,Arts of the Americas,Georgia O'Keeffe,oil on canvas
308,158750,Road - Mesa with Mist,"Semiabstracted painting, narrow road in the foreground disappears behind misty fog, pink hilltop in the distant background.",1961.0,1961.0,1961,"Georgia O'Keeffe
American, 1887–1986",Abiquiu,40.3 × 30.5 cm (15 7/8 × 12 in.),Oil on canvas,Bequest of Paul and Gabriella Rosenbaum,Arts of the Americas,Georgia O'Keeffe,oil on canvas
309,158751,Spring,A work made of oil on canvas.,1923.0,1924.0,1923–24,"Georgia O'Keeffe
American, 1887–1986",Lake George,45.7 × 35.4 cm (18 × 14 in.),Oil on canvas,Bequest of Paul and Gabriella Rosenbaum,Arts of the Americas,Georgia O'Keeffe,oil on canvas
310,158752,The White Place in Sun,"Painting of a close-up view of a pale, pinkish stone cliff with a V-shaped dip against a blue sky.",1943.0,1943.0,1943,"Georgia O'Keeffe
American, 1887–1986",Abiquiu,71.1 × 55.9 cm (28 × 22 in.),Oil on canvas,Bequest of Paul and Gabriella Rosenbaum,Arts of the Americas,Georgia O'Keeffe,oil on canvas
311,249012,Beauford Delaney,A work made of charcoal on cream laid paper.,1943.0,1943.0,1943,"Georgia O'Keeffe 
American, 1887–1986",United States,621 × 470 mm (sight),Charcoal on cream laid paper,Harry B. and Bessie K. Braude Memorial Fund,Prints and Drawings,Georgia O'Keeffe,drawings (visual works)
312,4749,Mrs. George Swinton (Elizabeth Ebsworth),A work made of oil on canvas.,1897.0,1897.0,1897,"John Singer Sargent
American, 1856–1925",London,231 × 124 cm (90 3/4 × 48 3/4 in.),Oil on canvas,Wirt D. Walker Collection,Arts of the Americas,John Singer Sargent,painting
313,7225,"Seated Male Nude, Arms Uplifted",Porcelain vessel of woman riding rooster with elaborate plumage,1917.0,1921.0,1917/21,"John Singer Sargent
American, 1856-1925",United States,474 × 627 mm,Charcoal with stumping on ivory laid paper,Gift of Robert Allerton,Prints and Drawings,John Singer Sargent,charcoal
314,7231,Sketches of Legs and Feet,A work made of charcoal with stumping and graphite on cream laid paper.,1917.0,1921.0,1917/21,"John Singer Sargent
American, 1856-1925",United States,473 × 624 mm,Charcoal with stumping and graphite on cream laid paper,Friends of American Art Collection,Prints and Drawings,John Singer Sargent,charcoal
315,14792,"Olive Trees, Corfu",A work made of watercolor and opaque watercolor with scraping and wax resist over graphite on ivory wove paper.,1909.0,1909.0,1909,"John Singer Sargent
American, 1856-1925",United States,356 × 508 mm,Watercolor and opaque watercolor with scraping and wax resist over graphite on ivory wove paper,Olivia Shaler Swan Memorial Collection,Prints and Drawings,John Singer Sargent,watercolor
316,14794,"Woodsheds, Tyrol",A work made of watercolor with scraping and wax resist over graphite on ivory wove paper.,1914.0,1914.0,1914,"John Singer Sargent
American, 1856-1925",United States,400 × 536 mm,Watercolor with scraping and wax resist over graphite on ivory wove paper,Olivia Shaler Swan Memorial Collection,Prints and Drawings,John Singer Sargent,watercolor
317,14796,Workmen at Carrara,A work made of watercolor with touches of opaque watercolor and scraping over graphite on ivory wove paper.,1911.0,1911.0,1911,"John Singer Sargent
American, 1856-1925",United States,404 × 534 mm,Watercolor with touches of opaque watercolor and scraping over graphite on ivory wove paper,Olivia Shaler Swan Memorial Collection,Prints and Drawings,John Singer Sargent,watercolor
318,15728,An Artist at His Easel,A work made of watercolor over traces of graphite on ivory wove paper.,1914.0,1914.0,1914,"John Singer Sargent
American, 1856-1925",United States,400 × 534 mm,Watercolor over traces of graphite on ivory wove paper,"Gift of Charles Deering McCormick, Brooks McCormick, and the Estate of Roger McCormick",Prints and Drawings,John Singer Sargent,watercolor
319,20199,"Final Study for ""Bathers at Asnières""",A work made of oil on panel.,1883.0,1883.0,1883,"Georges Seurat
French, 1859-1891",France,6 1/4 × 9 7/8 in. (15.8 × 25.1 cm),Oil on panel,"Gift of the Adele R. Levy Fund, Inc.",Painting and Sculpture of Europe,Georges Seurat,oil on panel
320,22153,Water Carriers on the Nile,A work made of oil on canvas.,1891.0,1891.0,1891,"John Singer Sargent
American, 1856–1925",United States,54.3 × 65.4 cm (21 3/8 × 25 3/4 in.),Oil on canvas,Charles H. and Mary F. S. Worcester Collection,Arts of the Americas,John Singer Sargent,painting
321,27992,A Sunday on La Grande Jatte — 1884,"Large painting of people in a crowded park, brushstrokes are dots.",1884.0,1886.0,1884/86,"Georges Seurat
French, 1859-1891",France,207.5 × 308.1 cm (81 3/4 × 121 1/4 in.),Oil on canvas,Helen Birch Bartlett Memorial Collection,Painting and Sculpture of Europe,Georges Seurat,oil on canvas
322,61616,"Oil Sketch for ""La Grande Jatte""","Heavy daubs of pigment form a crowded scene of roughly defined, finely dressed individuals in a brightly color park along a riverbank.",1884.0,1884.0,1884,"Georges Seurat
French, 1859-1891",France,6 1/8 × 9 9/16 in. (15.5 × 24.3 cm),Oil on panel,Gift of Mary and Leigh Block,Painting and Sculpture of Europe,Georges Seurat,painting
323,69697,Tree Trunks (study for La Grande Jatte),A work made of black conté crayon on ivory laid paper.,1884.0,1884.0,1884,"Georges Seurat
French, 1859-1891",France,474 × 615 mm,Black Conté crayon on ivory laid paper,Helen Regenstein Collection,Prints and Drawings,Georges Seurat,conté crayon
324,69780,"The Fountain, Villa Torlonia, Frascati, Italy","Portrait of a woman in white with a bonnet perched on an architectural feature painting something to her right, a spouting water fountain, greenery, and a an ornate, low white fence behind her. Beside her, a man leans back, eying the canvas.",1907.0,1907.0,1907,"John Singer Sargent
American, 1856–1925",Frascati,71.4 × 56.5 cm (28 1/8 × 22 1/4 in.),Oil on canvas,Friends of American Art Collection,Arts of the Americas,John Singer Sargent,oil on canvas
325,71393,Panel (Furnishing Fabric),"A work made of cotton, weft-float faced satin weave; screen printed.",1960.0,1969.0,1960s,"After painting by Georges Seurat (French, 1859-1891)
United States",United States,"66.4 × 118.2 cm (26 1/8 × 46 1/2 in.)
Repeat: 60.4 × 56.5-57.8 cm (23 3/4 × 22 1/4-22 3/4 in.)","Cotton, weft-float faced satin weave; screen printed",Found in Storage,Textiles,Georges Seurat,textile
326,77145,Red Cross Our Day 1917,A work made of lithograph in red on cream wove paper laid down on linen.,1917.0,1917.0,1917,"John Singer Sargent (American, 1856-1925)
printed by Argus (South African, 19th-20th century)",United States,756 × 503 mm,Lithograph in red on cream wove paper laid down on linen,Gift of Mr. Robertson,Prints and Drawings,John Singer Sargent,poster
327,80891,Seated Male Nude,A work made of charcoal with stumping on cream laid paper.,1917.0,1921.0,1917/21,"John Singer Sargent
American, 1856-1925",United States,473 × 625 mm,Charcoal with stumping on cream laid paper,Friends of American Art Collection,Prints and Drawings,John Singer Sargent,charcoal
328,87159,Woman with a Muff,"A work made of black conté crayon, with erasing, on ivory laid paper, laid down on cream laminate board.",1884.0,1886.0,c. 1884,"Georges Seurat
French, 1859-1891",France,313 × 238 mm,"Black Conté crayon, with erasing, on ivory laid paper, laid down on cream laminate board",Gift of Robert Allerton,Prints and Drawings,Georges Seurat,conté crayon
329,110879,Mrs. Charles Gifford Dyer (Mary Anthony),A work made of oil on canvas.,1880.0,1880.0,1880,"John Singer Sargent
American, 1856–1925",United States,62.2 × 43.8 cm (24 1/2 × 17 1/4 in.),Oil on canvas,Friends of American Art Collection,Arts of the Americas,John Singer Sargent,painting
330,112166,Seated Male Nude with Extended Leg (recto); Sketch of Kneeling Male Nude and Divided Circle (verso),A work made of charcoal (recto and verso) with stumping on ivory laid paper.,1917.0,1921.0,1917/21,"John Singer Sargent
American, 1856-1925",United States,473 × 623 mm,Charcoal (recto and verso) with stumping on ivory laid paper,Friends of American Art Collection,Prints and Drawings,John Singer Sargent,charcoal
331,112752,Bound Man (recto); Sketch of Bound Man (verso),A work made of charcoal with stumping and graphite (recto and verso) on cream laid paper.,1917.0,1921.0,1917/21,"John Singer Sargent
American, 1856-1925",United States,473 × 624 mm,Charcoal with stumping and graphite (recto and verso) on cream laid paper,Friends of American Art Collection,Prints and Drawings,John Singer Sargent,chalk
332,121628,Rehearsal of the Pasdeloup Orchestra at the Cirque d'Hiver,A work made of oil on canvas.,1879.0,1879.0,c. 1879,"John Singer Sargent
American, 1856–1925",Paris,93 × 73 cm (36 5/8 × 28 3/4 in.),Oil on canvas,Anonymous loan,Arts of the Americas,John Singer Sargent,painting
333,121629,Life Study (Study of an Egyptian Girl),A work made of oil on canvas.,1891.0,1891.0,1891,"John Singer Sargent
American, 1856–1925",Egypt,190.5 × 61 cm (75 × 24 in.),Oil on canvas,Anonymous loan,Arts of the Americas,John Singer Sargent,painting
334,133456,Tarragona Terrace and Garden,A work made of watercolor and opaque watercolor with printed paper fragments over traces of graphite on ivory wove paper.,1903.0,1913.0,c. 1908,"John Singer Sargent
American, 1856-1925",United States,305 × 459 mm; 12 1/4 × 18 in.,Watercolor and opaque watercolor with printed paper fragments over traces of graphite on ivory wove paper,Anonymous loan,Prints and Drawings,John Singer Sargent,watercolor
335,133507,Forest Scene,"A work made of watercolor and opaque watercolor with scraping, over traces of graphite wove paper mounted on board.",1876.0,1925.0,n.d.,"John Singer Sargent
American, 1856-1925",United States,306 × 459 mm (primary support); 483 × 623 mm (secondary support),"Watercolor and opaque watercolor with scraping, over traces of graphite wove paper mounted on board",Anonymous loan,Prints and Drawings,John Singer Sargent,watercolor
336,145807,Thistles,A work made of oil on canvas.,1883.0,1889.0,1883/89,"John Singer Sargent
American, 1856–1925",England,55.9 × 71.8 cm (22 × 28 1/4 in.),Oil on canvas,Gift of Brooks McCormick,Arts of the Americas,John Singer Sargent,painting
337,145808,Study of Two Bedouins,A work made of oil on canvas.,1905.0,1906.0,1905/6,"John Singer Sargent
American, 1856–1925",United States,46.7 × 39.1 cm (18 3/8 × 15 3/8 in.),Oil on canvas,Gift of Brooks McCormick,Arts of the Americas,John Singer Sargent,painting
338,145902,"The Basin, Vizcaya",A work made of watercolor with touches of opaque watercolor and wax resist over graphite on ivory wove paper.,1917.0,1917.0,1917,"John Singer Sargent
American, 1856-1925",United States,348 × 533 mm,Watercolor with touches of opaque watercolor and wax resist over graphite on ivory wove paper,Anonymous loan,Prints and Drawings,John Singer Sargent,watercolor
339,145903,"The Loggia, Vizcaya",A work made of watercolor and opaque watercolor with wax resist over graphite on ivory wove paper.,1917.0,1917.0,1917,"John Singer Sargent
American, 1856-1925",United States,402 × 531 mm; 15 7/8 × 20 7/8 in.,Watercolor and opaque watercolor with wax resist over graphite on ivory wove paper,Anonymous loan,Prints and Drawings,John Singer Sargent,watercolor
340,145904,"The Terrace, Vizcaya",A work made of watercolor and opaque watercolor with wax resist and scraping on ivory wove paper.,1917.0,1917.0,1917,"John Singer Sargent
American, 1856-1925",United States,348 × 534 mm,Watercolor and opaque watercolor with wax resist and scraping on ivory wove paper,Anonymous loan,Prints and Drawings,John Singer Sargent,watercolor
341,145905,"The Patio, Vizcaya",A work made of watercolor over graphite on ivory wove paper.,1917.0,1917.0,1917,"John Singer Sargent
American, 1856-1925",United States,400 × 532 mm,Watercolor over graphite on ivory wove paper,Anonymous loan,Prints and Drawings,John Singer Sargent,watercolor
342,145906,Fountain of Neptune,A work made of oil on board.,1902.0,1902.0,1902,"John Singer Sargent
American, 1856–1925",United States,57.2 × 47.6 cm (22 1/2 × 18 3/4 in.),Oil on board,Anonymous loan,Arts of the Americas,John Singer Sargent,painting
343,150773,Seated Woman with a Parasol (study for La Grande Jatte),A work made of black conté crayon on ivory laid paper.,1884.0,1885.0,1884/85,"Georges Seurat
French, 1859-1891",France,480 × 315 mm,Black Conté crayon on ivory laid paper,Bequest of Abby Aldrich Rockefeller,Prints and Drawings,Georges Seurat,conté crayon
344,150774,Woman Walking with a Parasol (study for La Grande Jatte),A work made of conté crayon on cream laid paper.,1884.0,1884.0,1884,"Georges Seurat
French, 1859-1891",France,317 × 241 mm,Conté crayon on cream laid paper,Bequest of Abby Aldrich Rockefeller,Prints and Drawings,Georges Seurat,conté crayon
345,150828,Roses in a Vase,"A work made of black conté crayon on ivory laid paper, discolored to tan, edge mounted on tan wove paper.",1881.0,1883.0,1881/83,"Georges Seurat
French, 1859-1891",France,311 × 240 mm,"Black Conté crayon on ivory laid paper, discolored to tan, edge mounted on tan wove paper",Gift of Dorothy Braude Edinburg to the Harry B. and Bessie K. Braude Memorial Collection,Prints and Drawings,Georges Seurat,conté crayon
346,154022,Trees (study for La Grande Jatte),"A work made of black conté crayon, on white laid paper, laid down on cream board.",1884.0,1884.0,1884,"Georges Seurat
French, 1859-1891",France,620 × 475 mm,"Black Conté crayon, on white laid paper, laid down on cream board",Helen Regenstein Collection,Prints and Drawings,Georges Seurat,conté crayon
347,159721,Portrait of Charles Deering,A work made of oil on canvas.,1917.0,1917.0,1917,"John Singer Sargent
American, 1856–1925",United States,72.4 × 53.3 cm (28 1/2 × 21 in.),Oil on canvas,Anonymous loan,Arts of the Americas,John Singer Sargent,painting
348,159722,Mrs. Charles Deering (Marion Denison Whipple),A work made of oil on canvas.,1888.0,1888.0,1888,"John Singer Sargent
American, 1856–1925",United States,71.1 × 61 cm (28 × 24 in.),Oil on canvas,Anonymous loan,Arts of the Americas,John Singer Sargent,painting
349,191183,Madame Paul Escudier (Louise Lefevre),A work made of oil on canvas.,1882.0,1882.0,1882,"John Singer Sargent
American, 1856–1925",United States,129.5 × 91.4 cm (51 × 36 in.),Oil on canvas,Bequest of Brooks McCormick,Arts of the Americas,John Singer Sargent,oil on canvas
350,227483,Girl in Spanish Costume,A work made of watercolor on ivory wove paper.,1879.0,1880.0,1879/80,"John Singer Sargent
American, 1856-1925",United States,329 × 165 mm,Watercolor on ivory wove paper,Gift of Brooks McCormick,Prints and Drawings,John Singer Sargent,paper
351,234960,Under the Cypress Trees at Corfu,A work made of oil on canvas.,1909.0,1909.0,1909,"John Singer Sargent
American, 1856–1925",Corfu,74.9 x 94 cm (29 1/2 x 37 in.),Oil on canvas,Gift of Jamee J. and Marshall Field,Arts of the Americas,John Singer Sargent,
352,239839,Harriett Pullman Carolan,A work made of charcoal on cream laid paper.,1911.0,1911.0,1911,"John Singer Sargent
American, 1856–1925",United States,633 × 485 mm,Charcoal on cream laid paper,Gift of Kimberley Lowden Miller and Jennifer Miller Tadjedin,Prints and Drawings,John Singer Sargent,drawings (visual works)
353,240973,Syrian Goats,A work made of oil on canvas.,1905.0,1905.0,1905,"John Singer Sargent
American, 1856–1925",,55.9 × 71.2 cm (22 × 28 in.),Oil on canvas,Anonymous loan,Arts of the Americas,John Singer Sargent,painting
354,240975,"Three Boats in Harbor, San Vigilio",A work made of oil on canvas.,1913.0,1913.0,1913,"John Singer Sargent
American, 1856–1925",,55.9 × 71.1 cm (22 × 28 in.),Oil on canvas,Anonymous loan,Arts of the Americas,John Singer Sargent,painting
355,243810,The Zone (Outside the City Walls),A work made of black conte crayon on cream laid paper.,1882.0,1883.0,1882–83,"Georges Seurat
French, 1859-1891",France,240 × 314 mm,Black conte crayon on cream laid paper,Harry B. and Bessie K. Braude Memorial Fund,Prints and Drawings,Georges Seurat,drawings (visual works)
356,9516,Portrait of Mary Block,A work made of oil on canvas.,1955.0,1957.0,1955–57,"Ivan Albright
American, 1897–1983",United States,99.4 × 76.2 cm (39 1/8 × 30 in.),Oil on canvas,Gift of Mary and Leigh Block,Arts of the Americas,Ivan Albright,painting
357,9535,"Heavy the Oar to Him Who Is Tired, Heavy the Coat, Heavy the Sea",A work made of oil on canvas.,1929.0,1929.0,1929,"Ivan Albright
American, 1897–1983",United States,135.3 × 86.4 cm (53 1/4 × 34 in.),Oil on canvas,Gift of Mr. and Mrs. Earle Ludgin,Arts of the Americas,Ivan Albright,oil on canvas
358,16713,"Fleeting Time, Thou Hast Left Me Old",A work made of lithograph on ivory wove paper.,1945.0,1945.0,1945,"Ivan Albright
American, 1897-1983",United States,350 × 245 mm (image); 437 × 312 mm (sheet),Lithograph on ivory wove paper,Gift of Earle Ludgin,Prints and Drawings,Ivan Albright,lithograph
359,16714,Bust of a Woman,A work made of lithograph on tan wove paper.,1933.0,1933.0,1933,"Ivan Albright
American, 1897-1983",United States,405 × 275 mm (image); 423 × 309 mm (sheet),Lithograph on tan wove paper,Gift of Earle Ludgin,Prints and Drawings,Ivan Albright,lithograph
360,16718,Into the World There Came a Soul Called Ida,A work made of lithograph on cream wove paper.,1940.0,1940.0,1940,"Ivan Albright
American, 1897-1983",United States,412 × 352 mm (image); 500 × 417 mm (sheet),Lithograph on cream wove paper,Gift of Earle Ludgin,Prints and Drawings,Ivan Albright,lithograph
361,16722,Show Case Doll,A work made of lithograph on off-white wove paper.,1954.0,1954.0,1954,"Ivan Albright
American, 1897-1983",United States,425 × 623 mm (image); 510 × 709 mm (sheet),Lithograph on off-white wove paper,Gift of Earle Ludgin,Prints and Drawings,Ivan Albright,lithograph
362,20606,Into the World There Came a Soul Called Ida,A work made of lithograph on white wove paper.,1940.0,1940.0,1940,"Ivan Albright
American, 1897-1983",United States,424 × 350 mm (image); 570 × 467 mm (sheet),Lithograph on white wove paper,Gift of Louise Lutz,Prints and Drawings,Ivan Albright,lithograph
363,25794,Josephine Medill Patterson Albright,A work made of bronze.,1954.0,1954.0,1954,"Ivan Albright
American, 1897–1983",United States,33.02 × 17.78 × 25.4 cm (13 1/2 × 7 × 10 1/2 in.),Bronze,Gift of Ivan Albright,Arts of the Americas,Ivan Albright,bronze
364,32596,Flesh (Smaller Than Tears Are the Little Blue Flowers),A work made of oil on canvas.,1928.0,1928.0,1928,"Ivan Albright
American, 1897–1983",United States,91.4 × 61 cm (36 × 24 in.),Oil on canvas,Gift of Ivan Albright,Arts of the Americas,Ivan Albright,painting
365,35543,Three Love Birds,A work made of lithograph on ivory wove paper.,1940.0,1941.0,1940–41,"Ivan Albright
American, 1897-1983",United States,438 × 290 mm (image); 493 × 343 mm (sheet),Lithograph on ivory wove paper,The Art Institute of Chicago,Prints and Drawings,Ivan Albright,lithograph
366,36801,"Heavy the Oar to Him Who is Tired, Heavy the Coat, Heavy the Sea",A work made of lithograph on off-white wove paper.,1939.0,1939.0,1939,"Ivan Albright
American, 1897-1983",United States,429 × 269 mm (comp.); 505 × 307 mm (sheet),Lithograph on off-white wove paper,Gift of Mr. Norman L. Rice,Prints and Drawings,Ivan Albright,lithograph
367,51540,Medical Sketchbook,"A work made of watercolor, graphite and ink on cream wove paper.",1918.0,1918.0,1918,"Ivan Albright
American, 1897-1983",United States,160 × 260 mm,"Watercolor, graphite and ink on cream wove paper",Gift of Philip V. Festoso,Prints and Drawings,Ivan Albright,sketchbook
368,51671,Seated Female Nude,"A work made of watercolor, with charcoal and touches of gouache, on ivory wove paper.",1927.0,1937.0,c. 1933,"Ivan Albright
American, 1897-1983",United States,507 × 353 mm,"Watercolor, with charcoal and touches of gouache, on ivory wove paper",Gift of Marvin Naftil,Prints and Drawings,Ivan Albright,watercolor
369,51729,"Brieve, France","A work made of watercolor and gouache, with brush and black ink, on off-white wove paper.",1960.0,1960.0,1960,"Ivan Albright
American, 1897-1983",United States,409 × 328 mm,"Watercolor and gouache, with brush and black ink, on off-white wove paper",Gift of Warren P. Snyder,Prints and Drawings,Ivan Albright,watercolor
370,52694,Hail to the Pure (Portrait of Maria Piedra),A work made of lithograph on white wove paper.,1977.0,1977.0,1977,"Ivan Albright
American, 1897-1983",United States,457 × 330 mm (image); 610 × 461 mm (sheet),Lithograph on white wove paper,Gift of Ivan Albright,Prints and Drawings,Ivan Albright,lithograph
371,53236,Nude Portrait of Gertrude Abercrombie,A work made of lithograph on ivory wove paper.,1935.0,1935.0,1935,"Ivan Albright
American, 1897-1983",United States,315 × 264 mm (image); 404 × 291 mm (sheet),Lithograph on ivory wove paper,Gift of the Estate of Gertrude Abercrombie,Prints and Drawings,Ivan Albright,lithograph
372,62271,Nude,A work made of oil on canvas.,1931.0,1931.0,1931,"Ivan Albright
American, 1897–1983",United States,35.6 × 19.1 cm (14 × 7 1/2 in.),Oil on canvas,Mary and Earle Ludgin Collection,Arts of the Americas,Ivan Albright,oil paintings (visual works)
373,62273,Self-Portrait,A work made of oil on canvas.,1935.0,1935.0,1935,"Ivan Albright
American, 1897–1983",United States,77.2 × 50.5 cm (30 3/8 × 19 7/8 in.),Oil on canvas,Mary and Earle Ludgin Collection,Arts of the Americas,Ivan Albright,oil on canvas
374,62330,Head of My Father,A work made of plaster.,1935.0,1936.0,1935–36,"Ivan Albright
American, 1897–1983",United States,39.4 × 16.5 cm (15 1/2 × 6 1/2 in.),Plaster,Mary and Earle Ludgin Collection,Arts of the Americas,Ivan Albright,sculpture
375,62656,Maine Coast,A work made of gouache on off-white wove paper.,1940.0,1940.0,1940,"Ivan Albright
American, 1897-1983",United States,645 × 497 mm,Gouache on off-white wove paper,Gift of Mrs. Donald W. Baker,Prints and Drawings,Ivan Albright,gouache
376,64316,Follow Me,A work made of lithograph on cream wove paper.,1948.0,1948.0,1948,"Ivan Albright
American, 1897-1983",United States,350 × 226 mm (image); 405 × 304 mm (sheet),Lithograph on cream wove paper,Mary and Earle Ludgin Collection,Prints and Drawings,Ivan Albright,lithograph
377,64322,Hail to the Pure,A work made of lithograph on white wove paper.,1977.0,1977.0,1977,"Ivan Albright
American, 1897-1983",United States,"460 × 330 mm (image, max); 608 × 460 mm (sheet)",Lithograph on white wove paper,Mary and Earle Ludgin Collection,Prints and Drawings,Ivan Albright,lithograph
378,64328,Josephine and Adam,A work made of ink and watercolor on paper.,1947.0,1947.0,1947,"Ivan Albright
American, 1897-1983",United States,455 × 308 mm,Ink and watercolor on paper,Mary and Earle Ludgin Collection,Prints and Drawings,Ivan Albright,pen and ink drawings
379,64329,Michigan Summer Days,A work made of watercolor and gouache on paper.,1917.0,1983.0,n.d.,"Ivan Albright
American, 1897-1983",United States,352 × 502 mm,Watercolor and gouache on paper,Mary and Earle Ludgin Collection,Prints and Drawings,Ivan Albright,watercolor
380,64331,Self-Portrait at 55 East Division Street,A work made of lithograph on ivory wove paper.,1947.0,1947.0,1947,"Ivan Albright
American, 1897-1983",United States,358 × 257 mm (image); 430 × 326 mm (sheet),Lithograph on ivory wove paper,Mary and Earle Ludgin Collection,Prints and Drawings,Ivan Albright,lithograph
381,73325,"Mt. Semeru, Jadka-kura, Java",A work made of gouache on cream wove paper.,1969.0,1969.0,1969,"Ivan Albright
American, 1897-1983",United States,308 × 608 mm,Gouache on cream wove paper,Gift of Dr. Harry Boysen,Prints and Drawings,Ivan Albright,
382,73326,Ranch Wyoming,A work made of watercolor on paper.,1946.0,1946.0,1946,"Ivan Albright
American, 1897-1983",United States,355 × 507 mm,Watercolor on paper,Gift of Dr. Harry Boysen,Prints and Drawings,Ivan Albright,watercolor
383,78508,Head of Adam Emory Albright,A work made of bronze.,1935.0,1936.0,"1935–36, cast 1952","Ivan Albright
American, 1897–1983
Cast by Roman Bronze Works
Corona, New York",Corona,38.1 × 43.2 cm (15 × 17 in.),Bronze,Gift of Mr. and Mrs. Earle Ludgin,Arts of the Americas,Ivan Albright,bronze
384,83905,That Which I Should Have Done I Did Not Do (The Door),"Shallow and tall painting tightly focused on a black paneled door, a wreath of dying flowers hanging on it and a hand reaching to the doorknob from left.",1931.0,1941.0,1931–41,"Ivan Albright
American, 1897–1983",United States,246.4 × 91.4 cm (97 × 36 in.),Oil on canvas,Mary and Leigh Block Charitable Fund,Arts of the Americas,Ivan Albright,oil on canvas
385,93790,The Snow Moves Through the Trees-the Trees Move Through the Snow,"A work made of charcoal and black crayon, with stumping and erasing, on white wove card.",1972.0,1972.0,1972,"Ivan Albright
American, 1897-1983",United States,550 × 729 mm,"Charcoal and black crayon, with stumping and erasing, on white wove card",Gift of Ivan Albright,Prints and Drawings,Ivan Albright,crayon
386,93791,This is Jill,"A work made of black crayon and graphite, on white clay-coated wove paper.",1975.0,1975.0,1975,"Ivan Albright
American, 1897-1983",United States,403 × 446 mm,"Black crayon and graphite, on white clay-coated wove paper",Gift of Ivan Albright,Prints and Drawings,Ivan Albright,graphite
387,93792,"Elm Street Bridge, Woodstock, Vermont",A work made of metalpoint on off-white wove paper prepared with an ivory ground.,1965.0,1965.0,1965,"Ivan Albright
American, 1897-1983",United States,406 × 508 mm,Metalpoint on off-white wove paper prepared with an ivory ground,Gift of Ivan Albright,Prints and Drawings,Ivan Albright,metalpoint
388,93793,"First a Church, Then a Lumberyard, Woodstock, Vermont",A work made of metalpoint on ivory wove paper prepared with an ivory ground.,1969.0,1969.0,1969,"Ivan Albright
American, 1897-1983",United States,405 × 508 mm,Metalpoint on ivory wove paper prepared with an ivory ground,Gift of Ivan Albright,Prints and Drawings,Ivan Albright,metalpoint
389,93794,The Red Barn Walked Around Me,A work made of metalpoint on ivory wove paper prepared with an ivory ground.,1968.0,1968.0,1968,"Ivan Albright
American, 1897-1983",United States,405 × 508 mm,Metalpoint on ivory wove paper prepared with an ivory ground,Gift of Ivan Albright,Prints and Drawings,Ivan Albright,metalpoint
390,93795,The Old Woodstock Inn,A work made of metalpoint on ivory wove paper prepared with an ivory ground.,1968.0,1968.0,1968,"Ivan Albright
American, 1897-1983",United States,508 × 406 mm,Metalpoint on ivory wove paper prepared with an ivory ground,Gift of Ivan Albright,Prints and Drawings,Ivan Albright,metalpoint
391,93797,"The White Cedar Shingling of My Studio at 47 Elm Street, Woodstock, Vermont",A work made of metalpoint on cream wove paper prepared with a cream ground.,1964.0,1964.0,1964,"Ivan Albright
American, 1897-1983",United States,409 × 504 mm,Metalpoint on cream wove paper prepared with a cream ground,Gift of Ivan Albright,Prints and Drawings,Ivan Albright,metalpoint
392,93798,Picture of Dorian Gray,A work made of oil on canvas.,1943.0,1944.0,1943–44,"Ivan Albright
American, 1897–1983",United States,215.9 × 106.7 cm (85 × 42 in.),Oil on canvas,Gift of Ivan Albright,Arts of the Americas,Ivan Albright,painting
393,93799,The Temptation of St. Anthony,A work made of oil on canvas.,1945.0,1946.0,1945–46,"Ivan Albright
American, 1897–1983",United States,127 × 152.4 cm (50 × 60 in.),Oil on canvas,Gift of Ivan Albright,Arts of the Americas,Ivan Albright,painting
394,93801,Showcase Doll,A work made of charcoal and oil on canvas.,1931.0,1932.0,1931–32,"Ivan Albright
American, 1897–1983",United States,88.9 × 137.2 cm (35 × 54 in.),Charcoal and oil on canvas,Gift of Ivan Albright,Arts of the Americas,Ivan Albright,painting
395,93802,A Face from Georgia,A work made of oil on canvas.,1970.0,1974.0,1970/74,"Ivan Albright
American, 1897–1983",United States,39.4 × 27.3 cm (15 1/2 × 10 3/4 in.),Oil on canvas,Gift of Ivan Albright,Arts of the Americas,Ivan Albright,painting
396,93803,Pray for These Little Ones (Perforce They Live Together),A work made of oil on silk.,1973.0,1974.0,1973–74,"Ivan Albright
American, 1897–1983",United States,27.6 × 42.6 cm (10 7/8 × 16 3/4 in.),Oil on silk,Gift of Ivan Albright,Arts of the Americas,Ivan Albright,painting
397,93804,The Lineman,A work made of oil on canvas.,1927.0,1927.0,1927,"Ivan Albright
American, 1897–1983",United States,184.2 × 92.7 cm (72 1/2 × 36 1/2 in.),Oil on canvas,Gift of Ivan Albright,Arts of the Americas,Ivan Albright,painting
398,93805,"I Walk To and Fro through Civilization and I Talk as I Walk (Follow Me, the Monk)",A work made of oil on canvas.,1926.0,1927.0,1926–27,"Ivan Albright
American, 1897–1983",United States,185.4 × 91.4 cm (73 × 36 in.),Oil on canvas,Gift of Ivan Albright,Arts of the Americas,Ivan Albright,painting
